id,domain,publisher,year,geography,status,priority,notes
ncrb_adr_education_suicide,mental_health_admin,National Crime Records Bureau,annual,state/India,manual_pdf,high,Administrative categories are not NEET-specific and may undercount or misclassify causes.
ihds_1_2,mobility_households,NCAER / University of Maryland,"2004-05,2011-12","state,district,rural/urban",registration_required,high,"Older, but uniquely useful for intergenerational and sibling correlations."
kerala_social_origin_523,professional_access_microdata,Edannur and Rasak / Pondicherry University,2015,Kerala,request_author,high,N=523; pre-NEET but directly compares medical and alternative programmes.
moe_rti_neet_archive,public_records_discovery,Ministry of Education,2019-present,India and states,manual_recovery,high,Request text is indexed; reply attachments are inconsistent and require recovery.
udise_plus,school_pipeline,Ministry of Education,2018-present,"school,district,state",mixed_access,high,Needed for pre-NEET pipeline and school context. Individual linkage is unavailable.
puducherry_neet_mbbs_performance,selection_validity_microdata,Sri Manakula Vinayagar Medical College and Hospital,2017-18 cohort,Puducherry,request_author,high,N=150; request deidentified file or custom cross-tabs.
intergenerational_mobility_asher_2024,social_mobility_research,AEJ Applied Economics,2024,district/social group over time,replication_available,high,Excellent geographic mobility context; not NEET-specific.
aidis_2019,wealth_debt,MoSPI / NSS,2019,"state,rural/urban",registration_required,high,Best public household balance-sheet source for ability to finance coaching/private college.
mcc_state_schedule,admissions,Medical Counselling Committee,2020-2026,states/UTs,manual_pdf,medium,Useful for discovering state portals and defining final-round completion.
cmie_cphs,household_income_private,CMIE,2014-present,"state,region,urban/rural",paid_optional,medium,"Would improve income dynamics and shocks, but sample representativeness is debated and license is costly."
people_research_indian_consumer_economy,household_income_private,People Research on India Consumer Economy,"2014,2016,2021 and related","India,state/settlement type",reports_or_request,medium,Potential source for income classes and wealth; verify access and methodology.
aser,learning_schooling,Pratham Education Foundation,annual/periodic,rural district/state,reports_or_request,medium,"Useful proxy for foundational preparation, mainly rural and younger ages."
nmc_stipend_details,medical_costs_outcomes,National Medical Commission / colleges,current,"college,state",scriptable_or_manual,medium,Useful for near-term cash-flow model during internship; data quality and completeness require auditing.
kota_prevention_2025,mental_health,Indian Journal of Psychiatry,2025,Kota/Rajasthan context,available_article,medium,Not an effect-size dataset.
neet_anxiety_2020_study,mental_health,Cureus,2020 sample / 2023 publication,one private junior college,available_article,medium,n=200 convenience sample; cannot estimate national prevalence.
neet_psychosocial_2026,mental_health,Innovare Journal of Education,2026,one urban district in South India,available_article,medium,n=400 cross-sectional; recent but geographically narrow.
ihds_education_mobility_2024,social_mobility_research,Frontiers in Sociology,2024,India/subgroups,available_article,medium,Useful for prior distributions and narrative context.
