status,priority,provider,dataset,years,geography,access_type,known_cost,eligibility,what_to_get,key_variables,model_use,limitations,url
not_requested,A11,MoSPI Microdata Portal,"Multiple Indicator Survey, NSS 78th Round",2020-21,"India, state, district, rural/urban",Free account/login,₹0,Any registered user,"Download every level, schedules, codebooks, multipliers and report.",digital access; migration; household characteristics; technical/vocational training; financial inclusion; transport/access indicators,"Digital/transport access, migration and educational opportunity context",Pandemic-era collection; some outcomes unusual.,https://microdata.gov.in/NADA/index.php/catalog/218/get-microdata
not_requested,A12,MoSPI Microdata Portal,Comprehensive Annual Modular Survey (CAMS),2022-23,"India, state, rural/urban",Free account/login,₹0,Any registered user,Download full microdata and documentation.,education/health/digital/basic-services modules and household characteristics,Additional validation of access and household conditions,Check overlap/redundancy with MIS and HCES before modeling.,https://microdata.gov.in/NADA/index.php/catalog/220/get-microdata
not_requested,A13,MoSPI Microdata Portal,Annual Survey of Unincorporated Sector Enterprises (ASUSE),"2022-23, 2023-24, and latest 2025 release if available","India, state, rural/urban, industry",Free account/login,₹0,Any registered user,"Download enterprise and owner files, schedules, codebooks, weights and reports for all available recent waves.","receipts, expenses, gross value added, employment, ownership, industry, location",Family-business and informal/self-employment alternative paths; household opportunity costs,"Enterprise survey, not household panel; matching to synthetic families is indirect.",https://microdata.gov.in/NADA/index.php/catalog/238/get-microdata
not_requested,A14,MoSPI Microdata Portal,"Household Social Consumption: Health, NSS 75th Round",2017-18,"India, state, district, rural/urban",Free account/login,₹0,Any registered user,Download all levels and documentation.,"hospitalization, outpatient care, medical spending, insurance, household characteristics",Family medical-shock burden and value of stable employment/insurance; context only,Not needed for first admission model; useful for quality-of-life extensions.,https://microdata.gov.in/NADA/index.php/catalog/152/get-microdata
not_requested,A15,Young Lives / UK Data Service or World Bank Microdata,Young Lives India longitudinal cohorts and school surveys,2002 onward; all public rounds,Andhra Pradesh/Telangana study sites,Registration/terms; generally free,₹0,Register with host archive and accept terms,"Download all India child, household, community, school-survey and constructed panel files.",cognitive scores; aspirations; household poverty; caste; parental education; schooling; fees; time use; psychosocial measures; transitions to work,"Life-course, aspiration, sibling/family investment and psychosocial priors",Not nationally representative and concentrated in one regional sample.,https://www.younglives.org.uk/data
not_requested,A16,ICMR National Health Research Data Repository,Relevant adolescent/mental-health and health-workforce datasets,various,various,Registration plus query/application; raw data often not released,Usually ₹0; project-specific,Research account and proposal,"Register, search holdings for adolescent stress, educational stress, mental health, medical students, and health-workforce studies; request permitted query extracts.",study-specific,Mental-health exposure validation and medical training outcomes,Repository often returns approved analyses/query outputs rather than raw records.,https://nhrdr.icmr.org.in/
not_requested,A17,Dataful,NEET 2024 centre-wise marks derived from NTA,2024,exam centre/city/state,Free account or download gate,Likely ₹0 for listed dataset; verify,Account,Download CSV/XLSX/Parquet version and metadata as a validation copy.,"centre ID, city/state, serial number, marks",Independent row-count/hash check of NTA reconstruction,Third-party derivative; preserve provenance and terms.,https://dataful.in/datasets/20201/
not_requested,B1,EPWRF India Time Series,Selected aggregate modules via pay-per-use,long time series,India/state/district depending series,Paid pay-per-use or annual subscription,₹20 per column up to 200 lines; ₹10 each additional 200 lines; small modules ₹120-₹230/year,Account/payment,Do not buy whole large modules yet. Use pay-per-use for exact missing series: state domestic product per capita; employment; education enrollment/medical institutions; health workforce; consumption; price indices; income-tax aggregates.,aggregate state/district time series,"Deflators, state economic context, validation totals and historical trends",Terms restrict redistribution; record query definitions and save raw exports privately.,https://epwrfits.in/subscription.aspx
not_requested,B2,Indiastat Districts,District-level socioeconomic tables,various,up to 640 districts,Paid subscription,"15-day: ₹5,664 incl. GST in India or $283 foreign, 10 tables; 30-day: ₹8,142 or $354, 30 tables",Account/payment,"Before purchasing, identify exact tables that remain missing. Candidate targets: district domestic product/income, education by level/management, health workforce/facilities, labour/workforce, bank/credit, population. Buy 15-day plan only after table list is fixed.",district aggregates,Small-area calibration for synthetic locality and state heterogeneity,Not unit records; limited downloads; much content may duplicate government sources.,https://www.indiastatdistricts.com/Subscribe/Subscribe
not_requested,B3,CMIE,Consumer Pyramids Household Survey Dx,"2014-present, three waves/year",India panel households,Paid subscription; price by quote/institution,Current price not public; likely not small,Institutional or individual quote,"First check university/employer/library access. Request academic quote and sample dictionaries for Income Pyramids, People of India, Consumption Pyramids, Aspirational India and employment modules.",monthly household income/expenses; education and private-tuition fees; employment; demographics; panel transitions,"Best potential high-frequency joint household income, tutoring expense and employment panel",Potentially expensive; licensing restrictive; do not purchase personally until quote and variable coverage are reviewed.,https://consumerpyramidsdx.cmie.com/
not_requested,B4,AAMC,Custom applicant/matriculant data report for U.S. comparator,recent 5-10 entering classes,United States,Request; custom reports may have fee,Unknown; quote before acceptance,Submit research-purpose request,"Request aggregate tables crossing family-income quintile, parental education, race/ethnicity, MCAT/GPA bands, applicant/matriculant status, medical-school ownership, debt and year.",U.S. medical applicant background/admission/debt,U.S. comparison calibrated to similar family standing,AAMC may decline or charge; data are aggregate and governed by privacy policies.,https://www.aamc.org/request-aamc-data
not_requested,B5,NCES / Standard Application Process,NPSAS restricted-use microdata,2019-20 and latest available,United States,Restricted-use application,No data fee stated; institutional security/compliance costs,"Institutional affiliation, security plan, approved project",Apply only if public-use PowerStats cannot answer tuition/debt/family-income questions. Request NPSAS student-level restricted data.,family income; aid; tuition; debt; institution; degree field; demographics,U.S. degree-cost and debt comparator,Not a quick personal download; institutional approvals and secure environment required.,https://nces.ed.gov/statprog/instruct.asp
not_requested,B6,IPUMS USA,ACS microdata extracts,2010-latest; prioritize 2018-2024,"United States, state/PUMA",Free registration,₹0 / $0,Account and usage agreement,"Build extracts with household/person IDs, income, family income, occupation, education/field, employment, race/ethnicity, age, sex, geography, weights.","income, occupation, education, employment, household context",U.S. synthetic-household and career distributions,PUMA is not ZIP/city; field-of-degree availability varies by year.,https://usa.ipums.org/usa/
not_requested,B7,IPUMS CPS,CPS ASEC and monthly microdata,2010-latest,United States,Free registration,₹0 / $0,Account and usage agreement,Build ASEC extracts for annual income and monthly extracts for employment transitions.,income; employment/unemployment; occupation; education; household; race/ethnicity; weights,U.S. employment-risk and income comparator,Smaller than ACS for detailed occupations; pool years.,https://cps.ipums.org/cps/
not_requested,B8,NLS Investigator,NLSY97 and optionally NLSY79,all public rounds,United States longitudinal cohort,Free account to save/download extracts,₹0 / $0,Account,"Download longitudinal education, employment, earnings, family background, debt, health and expectations variables.",life-course panel,U.S. life-course transitions and consequences of delayed education,Cohorts are older than current applicants; use for structural validation.,https://www.nlsinfo.org/investigator/
not_requested,R1,National Testing Agency via RTI,NEET application/result database schema and anonymized socioeconomic-score tables,2019-2026,India; state/district,RTI request,₹10 central application fee; possible copying/media charges,Indian citizen filer required,"File the NTA template in docs/RTI_REQUEST_TEMPLATES.md. Ask first for schema/codebooks and existing anonymized exports/cross-tabs, not new analysis.",mode of preparation; annual family income band; parents occupations/qualifications; category; gender; place of residence; addresses state/district; exam medium; school board/type/district; prior NEET appearance; score/rank,This is potentially the single most valuable missing joint dataset,"Privacy/Section 8 issues likely; ask for severed aggregate or banded data and small-cell suppression. RTI covers existing records, not creation of a new statistical study.",https://www.nta.ac.in/rti
not_requested,R2,MCC / DGHS via RTI,Machine-readable counselling and joined-admission records,2019-2026,"AIQ, central, deemed and other MCC quotas",RTI request,Usually ₹10 central RTI fee,Indian citizen filer required,"Request existing electronic allotment/admission exports with year, round, rank, category/quota, domicile/state if held, course, college, management/ownership, allotment/joining/resignation status and gender if held.",rank-to-seat mapping and actual joining,"Admission likelihood, vacancy/non-joining, public/private/deemed paths",MCC does not cover all state-quota seats; privacy may require banding.,https://rtionline.gov.in/
not_requested,R3,National Medical Commission via RTI,"Historical medical-college capacity, ownership, fees, completion and attrition",2010-2026,India/state/college,RTI request,Usually ₹10 central RTI fee,Indian citizen filer required,"Request existing electronic college-year files: sanctioned/recognized intake, ownership/management, fees if held, admitted students, examination pass-outs, internship completion, attrition, closures/recognition changes and stipends if held.",seat supply; cost; completion,Medical capacity and probability of becoming a practicing doctor after admission,NMC may not hold fees or employment outcomes; ask it to identify the custodian where not held.,https://rtionline.gov.in/
not_requested,R4,State counselling/medical education authorities via state RTI portals,"State applicant, merit, allotment, fee and joining records",2019-2026,"Each state; start Kerala, Gujarat, Tamil Nadu, Maharashtra",State RTI request,Fee/process varies by state,Indian citizen filer required,"Use generic state template, adapted to fields collected locally: domicile, state category, government-school quota, school board/medium, income/EWS, first/repeat status, rank, college/seat type, round and joining.",state-specific admission joint distributions,Drill-down and validation of national independence assumptions,Central RTI portal cannot accept state-government requests. Separate requests and fee rules are required.,
not_requested,O1,ASER Centre,ASER household/school unit records or custom tabulations,recent annual rural rounds; 2018 onward,rural districts/states,Direct research request; access policy unclear,Unknown; likely request/partnership,Email research/data team,"Request anonymized unit records or custom tables for Class 10-12 progression, science access, paid tuition/coaching, parental education/assets, gender/caste/state where collected.",learning and school pipeline,Pre-NEET educational readiness and rural inequality,ASER mainly covers younger children and rural households; variable coverage differs by year.,https://asercentre.org/
not_requested,O2,Major coaching providers and scholarship programs,Anonymized NEET cohort/outcome extracts,2019-2026,center/program,Direct data partnership,Unknown; negotiate,Research outreach and data-use agreement,"Request program-level or anonymized candidate rows with baseline diagnostic score, program type/duration/fees/scholarship, prior attempts, school background, final NEET score/rank, and seat outcome. Providers: ALLEN, Aakash, Physics Wallah, Narayana, Motion, Resonance, public welfare/residential programs.","coaching selection, score gain and admission outcome",Direct calibration of coaching effect and heterogeneity,Advertising success counts without enrollment denominators are not effect estimates; require full cohort denominators.,
